OID,DATE,CUSTOMER_ID,AMOUNT
1,2024-01-01 00:00:00,140,4419
2,2024-01-01 01:00:00,246,883
3,2024-01-01 02:00:00,661,1049
4,2024-01-01 03:00:00,758,4039
5,2024-01-01 04:00:00,395,144
6,2024-01-01 05:00:00,487,1910
7,2024-01-01 06:00:00,476,4666
8,2024-01-01 07:00:00,517,2181
9,2024-01-01 08:00:00,977,3598
10,2024-01-01 09:00:00,184,929
11,2024-01-01 10:00:00,20,2009
12,2024-01-01 11:00:00,937,2681
13,2024-01-01 12:00:00,558,791
14,2024-01-01 13:00:00,524,4119
15,2024-01-01 14:00:00,582,1031
16,2024-01-01 15:00:00,529,3506
17,2024-01-01 16:00:00,883,247
18,2024-01-01 17:00:00,147,1132
19,2024-01-01 18:00:00,666,1411
20,2024-01-01 19:00:00,304,487
21,2024-01-01 20:00:00,620,3221
22,2024-01-01 21:00:00,748,1973
23,2024-01-01 22:00:00,820,3688
24,2024-01-01 23:00:00,864,1015
25,2024-01-02 00:00:00,582,1978
26,2024-01-02 01:00:00,695,3848
27,2024-01-02 02:00:00,762,377
28,2024-01-02 03:00:00,228,2077
29,2024-01-02 04:00:00,102,1959
30,2024-01-02 05:00:00,587,3136
31,2024-01-02 06:00:00,417,3471
32,2024-01-02 07:00:00,958,4813
33,2024-01-02 08:00:00,216,2282
34,2024-01-02 09:00:00,407,4775
35,2024-01-02 10:00:00,399,1270
36,2024-01-02 11:00:00,923,589
37,2024-01-02 12:00:00,715,2625
38,2024-01-02 13:00:00,704,1282
39,2024-01-02 14:00:00,761,4579
40,2024-01-02 15:00:00,499,4358
41,2024-01-02 16:00:00,754,2588
42,2024-01-02 17:00:00,465,1976
43,2024-01-02 18:00:00,691,2562
44,2024-01-02 19:00:00,949,1730
45,2024-01-02 20:00:00,974,387
46,2024-01-02 21:00:00,731,4382
47,2024-01-02 22:00:00,82,2007
48,2024-01-02 23:00:00,604,1261
49,2024-01-03 00:00:00,947,229
50,2024-01-03 01:00:00,687,2463
51,2024-01-03 02:00:00,751,243
52,2024-01-03 03:00:00,772,115
53,2024-01-03 04:00:00,903,344
54,2024-01-03 05:00:00,365,1026
55,2024-01-03 06:00:00,163,3278
56,2024-01-03 07:00:00,48,2276
57,2024-01-03 08:00:00,511,986
58,2024-01-03 09:00:00,329,440
59,2024-01-03 10:00:00,840,2151
60,2024-01-03 11:00:00,116,3498
61,2024-01-03 12:00:00,941,4050
62,2024-01-03 13:00:00,849,405
63,2024-01-03 14:00:00,337,1007
64,2024-01-03 15:00:00,881,2754
65,2024-01-03 16:00:00,737,3892
66,2024-01-03 17:00:00,864,4142
67,2024-01-03 18:00:00,840,1471
68,2024-01-03 19:00:00,147,420
69,2024-01-03 20:00:00,575,4754
70,2024-01-03 21:00:00,806,4159
71,2024-01-03 22:00:00,323,1231
72,2024-01-03 23:00:00,443,2678
73,2024-01-04 00:00:00,837,4142
74,2024-01-04 01:00:00,13,3467
75,2024-01-04 02:00:00,943,917
76,2024-01-04 03:00:00,494,111
77,2024-01-04 04:00:00,701,294
78,2024-01-04 05:00:00,287,2637
79,2024-01-04 06:00:00,720,2942
80,2024-01-04 07:00:00,114,2329
81,2024-01-04 08:00:00,480,3109
82,2024-01-04 09:00:00,22,4851
83,2024-01-04 10:00:00,349,2177
84,2024-01-04 11:00:00,726,3967
85,2024-01-04 12:00:00,683,4973
86,2024-01-04 13:00:00,835,543
87,2024-01-04 14:00:00,566,397
88,2024-01-04 15:00:00,906,944
89,2024-01-04 16:00:00,810,1115
90,2024-01-04 17:00:00,320,1484
91,2024-01-04 18:00:00,126,1497
92,2024-01-04 19:00:00,277,653
93,2024-01-04 20:00:00,976,2450
94,2024-01-04 21:00:00,204,4616
95,2024-01-04 22:00:00,194,1369
96,2024-01-04 23:00:00,681,1360
97,2024-01-05 00:00:00,664,284
98,2024-01-05 01:00:00,547,4663
99,2024-01-05 02:00:00,696,2510
100,2024-01-05 03:00:00,286,4531
101,2024-01-05 04:00:00,57,2309
102,2024-01-05 05:00:00,734,3772
103,2024-01-05 06:00:00,303,4783
104,2024-01-05 07:00:00,163,1981
105,2024-01-05 08:00:00,19,4396
106,2024-01-05 09:00:00,370,621
107,2024-01-05 10:00:00,264,1987
108,2024-01-05 11:00:00,794,2652
109,2024-01-05 12:00:00,113,3909
110,2024-01-05 13:00:00,488,4983
111,2024-01-05 14:00:00,327,4255
112,2024-01-05 15:00:00,542,4773
113,2024-01-05 16:00:00,647,4516
114,2024-01-05 17:00:00,579,3579
115,2024-01-05 18:00:00,65,1509
116,2024-01-05 19:00:00,292,1794
117,2024-01-05 20:00:00,25,4764
118,2024-01-05 21:00:00,549,626
119,2024-01-05 22:00:00,1,2760
120,2024-01-05 23:00:00,911,2272
121,2024-01-06 00:00:00,549,379
122,2024-01-06 01:00:00,141,3064
123,2024-01-06 02:00:00,744,4077
124,2024-01-06 03:00:00,648,2769
125,2024-01-06 04:00:00,901,2993
126,2024-01-06 05:00:00,188,1851
127,2024-01-06 06:00:00,128,4081
128,2024-01-06 07:00:00,201,4869
129,2024-01-06 08:00:00,127,2461
130,2024-01-06 09:00:00,257,4527
131,2024-01-06 10:00:00,676,4231
132,2024-01-06 11:00:00,547,1808
133,2024-01-06 12:00:00,194,2786
134,2024-01-06 13:00:00,703,2995
135,2024-01-06 14:00:00,104,4635
136,2024-01-06 15:00:00,535,2876
137,2024-01-06 16:00:00,265,1219
138,2024-01-06 17:00:00,802,3088
139,2024-01-06 18:00:00,942,4359
140,2024-01-06 19:00:00,974,4343
141,2024-01-06 20:00:00,384,294
142,2024-01-06 21:00:00,260,762
143,2024-01-06 22:00:00,414,579
144,2024-01-06 23:00:00,991,4318
145,2024-01-07 00:00:00,358,1523
146,2024-01-07 01:00:00,75,2808
147,2024-01-07 02:00:00,355,3275
148,2024-01-07 03:00:00,584,3914
149,2024-01-07 04:00:00,771,2114
150,2024-01-07 05:00:00,910,3889
151,2024-01-07 06:00:00,188,4905
152,2024-01-07 07:00:00,973,2543
153,2024-01-07 08:00:00,685,1011
154,2024-01-07 09:00:00,992,3313
155,2024-01-07 10:00:00,290,2464
156,2024-01-07 11:00:00,45,3729
157,2024-01-07 12:00:00,573,3572
158,2024-01-07 13:00:00,83,780
159,2024-01-07 14:00:00,123,4751
160,2024-01-07 15:00:00,358,709
161,2024-01-07 16:00:00,528,2256
162,2024-01-07 17:00:00,66,3966
163,2024-01-07 18:00:00,936,471
164,2024-01-07 19:00:00,657,715
165,2024-01-07 20:00:00,375,2353
166,2024-01-07 21:00:00,162,4238
167,2024-01-07 22:00:00,746,964
168,2024-01-07 23:00:00,380,1368
169,2024-01-08 00:00:00,656,884
170,2024-01-08 01:00:00,358,4671
171,2024-01-08 02:00:00,188,4278
172,2024-01-08 03:00:00,322,2337
173,2024-01-08 04:00:00,450,4154
174,2024-01-08 05:00:00,474,4995
175,2024-01-08 06:00:00,13,1035
176,2024-01-08 07:00:00,184,4080
177,2024-01-08 08:00:00,111,2438
178,2024-01-08 09:00:00,927,425
179,2024-01-08 10:00:00,508,1634
180,2024-01-08 11:00:00,290,3580
181,2024-01-08 12:00:00,295,3961
182,2024-01-08 13:00:00,451,2085
183,2024-01-08 14:00:00,904,4703
184,2024-01-08 15:00:00,215,2878
185,2024-01-08 16:00:00,974,1370
186,2024-01-08 17:00:00,632,740
187,2024-01-08 18:00:00,894,4803
188,2024-01-08 19:00:00,567,4178
189,2024-01-08 20:00:00,27,4761
190,2024-01-08 21:00:00,630,1467
191,2024-01-08 22:00:00,733,4142
192,2024-01-08 23:00:00,231,2675
193,2024-01-09 00:00:00,565,3703
194,2024-01-09 01:00:00,807,1681
195,2024-01-09 02:00:00,321,2086
196,2024-01-09 03:00:00,913,2340
197,2024-01-09 04:00:00,233,4066
198,2024-01-09 05:00:00,670,2205
199,2024-01-09 06:00:00,437,228
200,2024-01-09 07:00:00,781,4901
201,2024-01-09 08:00:00,533,4096
202,2024-01-09 09:00:00,403,951
203,2024-01-09 10:00:00,53,4203
204,2024-01-09 11:00:00,787,2176
205,2024-01-09 12:00:00,313,3094
206,2024-01-09 13:00:00,281,3844
207,2024-01-09 14:00:00,726,2856
208,2024-01-09 15:00:00,31,1744
209,2024-01-09 16:00:00,337,4471
210,2024-01-09 17:00:00,183,3244
211,2024-01-09 18:00:00,23,342
212,2024-01-09 19:00:00,544,4185
213,2024-01-09 20:00:00,446,270
214,2024-01-09 21:00:00,74,752
215,2024-01-09 22:00:00,10,3612
216,2024-01-09 23:00:00,484,1599
